0 0.0000
5000 286.1970
10000 302.3517
15000 288.9584
20000 305.0005
25000 288.3845
30000 301.1782
35000 291.4998
40000 296.4567
45000 308.1896
50000 290.4339
55000 300.3233
60000 299.2828
65000 303.8825
70000 281.5539
75000 301.0626
80000 301.4491
85000 295.6984
90000 306.0770
95000 286.0108
100000 296.2124
105000 300.3993
110000 299.3568
115000 296.6617
120000 299.0648
125000 312.9469
130000 298.8315
135000 301.6424
140000 293.5379
145000 306.1886
150000 291.8766
155000 304.9418
160000 304.8206
165000 301.8630
170000 292.9035
175000 289.2095
180000 301.4375
185000 296.9907
190000 304.6400
195000 292.9102
200000 291.6076
205000 301.7215
210000 308.0228
215000 293.7164
220000 294.1984
225000 311.9259
230000 303.2876
235000 291.6060
240000 295.3081
245000 293.1748
250000 298.5591
255000 303.8519
260000 299.4912
265000 288.1590
270000 298.0382
275000 310.1139
280000 295.2851
285000 301.5589
290000 285.1948
295000 301.3237
300000 301.5760
305000 301.8868
310000 303.3218
315000 308.9020
320000 310.5736
325000 307.2583
330000 309.4378
335000 309.7149
340000 293.6927
345000 300.2885
350000 307.7316
355000 291.4395
360000 312.0748
365000 304.7317
370000 300.9904
375000 294.6191
380000 298.6082
385000 308.7739
390000 299.4606
395000 308.8088
400000 303.6985
405000 298.5404
410000 282.7996
415000 297.2998
420000 298.1794
425000 309.2165
430000 296.3338
435000 297.6314
440000 302.2654
445000 305.6925
450000 290.1941
455000 297.1591
460000 301.9895
465000 298.9797
470000 303.4477
475000 294.6723
480000 295.0160
485000 289.5165
490000 301.3211
495000 303.7580
500000 301.6896

